topology,algorithm,scenario_label,avg_throughput,median_throughput,std_throughput,min_throughput,max_throughput,avg_runtime_ms,std_runtime_ms,avg_hop_count,avg_loss_pct,total_retransmits,total_runs,success_rate_%
jellyfish,bellman_ford,Switch Down,95.12274126212036,95.12274126212036,,95.12274126212036,95.12274126212036,0.067375,,2.0,60.0,0.0,1,50.0
jellyfish,widest_path,Bandwidth Throttle,94.95085155583355,94.95085155583355,0.884075290924728,94.3257159225412,95.5759871891259,0.0751205,0.013547458820753056,1.5,0.0,0.0,2,100.0
jellyfish,widest_path,Baseline No Failure,94.9936259723155,94.9936259723155,0.12302321800001464,94.9066354206243,95.0806165240067,0.538496,0.6382642791837876,1.5,0.0,0.0,2,100.0
jellyfish,widest_path,Link Down Before Traffic,94.85538705173808,94.85538705173808,0.6735406077146235,94.37912192061856,95.3316521828576,0.0605,0.02229790523793659,1.5,0.0,0.0,2,100.0
jellyfish,widest_path,Link Down During Traffic,94.9675970187574,94.9675970187574,0.5334791691168467,94.59037028065312,95.3448237568617,0.065908,0.02968717110133602,1.5,0.0,180.0,2,100.0
jellyfish,widest_path,Link Flap,94.9112026892254,94.9112026892254,0.5111689693498134,94.549751644666,95.2726537337848,0.083187,0.05529009343453852,1.5,0.0,45.0,2,100.0
jellyfish,widest_path,Random Link Down Jellyfish,95.54915892065858,95.54915892065858,0.08777183984154996,95.4870948575094,95.61122298380776,0.22627899999999998,0.22135412099619917,1.5,0.0,0.0,2,100.0
jellyfish,widest_path,Switch Down,95.2927597165844,95.2927597165844,,95.2927597165844,95.2927597165844,1.280858,,2.0,60.0,0.0,1,50.0
ring5,astar,Bandwidth Throttle,52.513685035497595,52.513685035497595,60.80873685269151,9.515414851571109,95.51195521942408,0.037721,0.0034351247430042487,1.0,0.0,0.0,2,100.0
ring5,astar,Baseline No Failure,95.51188712714251,95.51188712714251,0.0022150107120316996,95.51032087804764,95.5134533762374,0.039371,0.005639883686743908,1.0,0.0,0.0,2,100.0
ring5,astar,Link Down Before Traffic,95.50436343117795,95.50436343117795,0.0031484538193246783,95.50213713813206,95.50658972422386,0.06430449999999999,0.00032456201256462114,1.0,0.0,0.0,2,100.0
ring5,astar,Link Down During Traffic,95.18274460898314,95.18274460898314,0.4639808377101984,94.85466061229764,95.51082860566864,0.039233500000000004,0.008945607888791013,1.0,0.0,285.0,2,100.0
ring5,astar,Link Flap,94.43009436571583,94.43009436571583,1.531437305006247,93.34720466238387,95.5129840690478,0.030525,0.008944900782009827,1.0,0.0,939.0,2,100.0
ring5,astar,Switch Down,95.4946295051972,95.4946295051972,,95.4946295051972,95.4946295051972,0.047575,,1.0,35.55555555555556,0.0,1,50.0
ring5,bellman_ford,Bandwidth Throttle,94.9978342081574,94.9978342081574,0.7217631061503834,94.4874706213882,95.5081977949266,0.037858,0.02035336158967358,1.0,0.0,0.0,2,100.0
ring5,bellman_ford,Baseline No Failure,94.95223962053831,94.95223962053831,0.7874267619867601,94.3954448174497,95.5090344236269,0.063525,0.041224325343175716,1.0,0.0,1.0,2,100.0
ring5,bellman_ford,Link Down Before Traffic,95.50899998911765,95.50899998911765,0.0017387646345196435,95.5077704968537,95.5102294813816,0.028187499999999997,0.00784252131014,1.0,0.0,0.0,2,100.0
ring5,bellman_ford,Link Down During Traffic,93.75283676609864,93.75283676609864,1.6016352273738175,92.62030963583535,94.88536389636192,0.027271000000000004,0.006416286932486732,1.0,0.0,592.0,2,100.0
ring5,bellman_ford,Link Flap,93.27395430393058,93.27395430393058,0.8905398484391763,92.6442475381824,93.90366106967876,0.028508,0.006352647322179945,1.0,0.0,922.0,2,100.0
ring5,bellman_ford,Switch Down,95.51390395547,95.51390395547,,95.51390395547,95.51390395547,0.088825,,1.0,35.55555555555556,0.0,1,50.0
ring5,widest_path,Bandwidth Throttle,52.50521171800263,52.50521171800263,60.79734739502487,9.514995096826262,95.495428339179,0.0487205,0.03584394984512729,1.0,0.0,0.0,2,100.0
